Date,Open,High,Low,Close,Adj Close,Volume
2008-06-25,3939.250000,4055.699951,3897.449951,4046.149902,4046.149902,2807900
2008-06-26,4070.050049,4104.750000,4028.600098,4095.550049,4095.550049,3440000
2008-06-27,4009.699951,4009.699951,3913.350098,3926.100098,3926.100098,2889600
2008-06-30,3925.050049,3951.199951,3810.500000,3826.250000,3826.250000,2676400
2008-07-01,3823.949951,3851.800049,3667.500000,3682.250000,3682.250000,3034100
2008-07-02,3679.300049,3887.199951,3630.199951,3873.100098,3873.100098,4122200
2008-07-03,3856.750000,3856.750000,3660.100098,3711.449951,3711.449951,3293000
2008-07-04,3711.899902,3819.250000,3682.250000,3804.949951,3804.949951,3280700
2008-07-07,3826.350098,3905.949951,3811.050049,3828.100098,3828.100098,2843600
2008-07-08,3755.899902,3825.149902,3700.899902,3795.050049,3795.050049,3088600
2008-07-09,3862.199951,3971.449951,3862.199951,3960.250000,3960.250000,3052500
2008-07-10,3934.949951,3987.100098,3911.699951,3963.750000,3963.750000,2844800
2008-07-11,4000.250000,4002.600098,3817.550049,3850.800049,3850.800049,3050500
2008-07-14,3822.000000,3913.100098,3810.449951,3837.850098,3837.850098,2675900
2008-07-15,3785.199951,3785.199951,3647.800049,3669.699951,3669.699951,2519300
2008-07-16,3676.699951,3724.649902,3598.500000,3624.500000,3624.500000,3131300
2008-07-17,3711.750000,3765.350098,3685.250000,3747.449951,3747.449951,3185500
2008-07-18,3783.649902,3897.199951,3730.949951,3882.000000,3882.000000,3274000
2008-07-21,3913.399902,3948.550049,3859.550049,3940.350098,3940.350098,2612800
2008-07-22,3945.300049,4042.750000,3938.350098,4024.050049,4024.050049,3325200
2008-07-23,4133.600098,4275.299805,4133.600098,4260.600098,4260.600098,5037100
2008-07-24,4309.450195,4321.149902,4175.350098,4221.299805,4221.299805,4403200
2008-07-25,4163.500000,4171.799805,4095.649902,4110.700195,4110.700195,3098200
2008-07-28,4114.700195,4150.100098,4100.350098,4130.500000,4130.500000,2213900
2008-07-29,4069.399902,4078.949951,3958.550049,3983.050049,3983.050049,2797800
2008-07-30,4039.750000,4118.200195,4032.800049,4107.100098,4107.100098,2965400
2008-07-31,4119.549805,4131.899902,4081.050049,4123.950195,4123.950195,3689700
2008-08-01,4079.199951,4216.200195,4035.199951,4208.899902,4208.899902,3838700
2008-08-04,4195.549805,4237.350098,4169.149902,4201.500000,4201.500000,3381900
2008-08-05,4188.000000,4321.149902,4186.600098,4311.000000,4311.000000,3940100
2008-08-06,4388.000000,4419.500000,4302.250000,4315.200195,4315.200195,3958100
2008-08-07,4307.149902,4374.299805,4294.600098,4322.200195,4322.200195,2988100
2008-08-08,4299.899902,4342.649902,4262.750000,4328.700195,4328.700195,2628000
2008-08-11,4382.399902,4423.250000,4382.399902,4418.850098,4418.850098,2549900
2008-08-12,4418.350098,4435.450195,4325.950195,4351.250000,4351.250000,2619400
2008-08-13,4321.149902,4370.549805,4301.250000,4326.149902,4326.149902,2335900
2008-08-14,4313.750000,4313.750000,4214.799805,4223.600098,4223.600098,2242200
2008-08-18,4214.950195,4241.649902,4172.799805,4185.100098,4185.100098,1916100
2008-08-19,4156.549805,4177.299805,4110.000000,4160.500000,4160.500000,1890400
2008-08-20,4184.049805,4222.399902,4178.500000,4205.350098,4205.350098,1859900
2008-08-21,4197.250000,4197.250000,4068.600098,4080.399902,4080.399902,1709200
2008-08-22,4064.800049,4128.600098,4048.600098,4121.049805,4121.049805,1931600
2008-08-25,4158.299805,4188.100098,4120.799805,4130.100098,4130.100098,1519900
2008-08-26,4089.949951,4140.450195,4081.100098,4133.549805,4133.549805,1805800
2008-08-27,4158.100098,4158.200195,4082.199951,4090.800049,4090.800049,1633000
2008-08-28,4091.350098,4099.149902,4012.649902,4021.899902,4021.899902,2710500
2008-08-29,4068.850098,4169.399902,4068.850098,4162.700195,4162.700195,2296500
2008-09-01,4155.500000,4165.850098,4089.800049,4151.100098,4151.100098,1637800
2008-09-02,4148.100098,4315.750000,4148.100098,4300.049805,4300.049805,2822600
2008-09-04,4260.500000,4277.049805,4219.100098,4249.899902,4249.899902,2314600
2008-09-05,4174.299805,4185.250000,4135.700195,4153.549805,4153.549805,2059900
2008-09-08,4284.500000,4329.799805,4263.100098,4271.200195,4271.200195,2135200
2008-09-09,4242.600098,4281.000000,4211.549805,4254.399902,4254.399902,2195400
2008-09-10,4240.200195,4254.250000,4174.750000,4192.250000,4192.250000,2796000
2008-09-11,4167.649902,4167.649902,4080.350098,4095.000000,4095.000000,2488700
2008-09-12,4120.000000,4125.899902,4006.850098,4030.699951,4030.699951,2748000
2008-09-15,3939.250000,3939.250000,3766.350098,3875.899902,3875.899902,2844000
2008-09-16,3773.149902,3888.199951,3730.800049,3877.250000,3877.250000,2944200
2008-09-17,3903.550049,3912.050049,3781.350098,3806.649902,3806.649902,2772500
2008-09-18,3680.199951,3838.850098,3608.750000,3829.949951,3829.949951,3749800
2008-09-19,3933.100098,4037.300049,3920.800049,4023.100098,4023.100098,3616800
2008-09-22,4058.699951,4067.500000,3983.750000,4001.199951,4001.199951,2583900
2008-09-23,3933.100098,4000.050049,3901.050049,3908.399902,3908.399902,2466200
2008-09-24,3907.449951,3983.250000,3907.449951,3940.300049,3940.300049,2528800
2008-09-25,3939.399902,3946.899902,3864.100098,3894.149902,3894.149902,3646300
2008-09-26,3883.800049,3883.800049,3761.149902,3774.550049,3774.550049,2393600
2008-09-29,3780.199951,3780.199951,3575.050049,3640.699951,3640.699951,3324000
2008-09-30,3563.600098,3752.449951,3514.399902,3712.149902,3712.149902,3845300
2008-10-01,3751.550049,3789.699951,3658.149902,3741.600098,3741.600098,2781100
2008-10-03,3746.600098,3746.600098,3603.050049,3615.000000,3615.000000,2790800
2008-10-06,3565.800049,3565.800049,3389.300049,3407.100098,3407.100098,2791200
2008-10-07,3460.949951,3525.350098,3343.899902,3403.850098,3403.850098,3409300
2008-10-08,3348.750000,3348.750000,3134.500000,3305.149902,3305.149902,3533500
2008-10-10,3247.100098,3247.100098,3010.050049,3076.300049,3076.300049,4240100
2008-10-13,3133.699951,3290.000000,3133.699951,3273.850098,3273.850098,3228100
2008-10-14,3289.899902,3422.000000,3287.899902,3305.449951,3305.449951,3278200
2008-10-15,3250.750000,3250.750000,3124.250000,3135.500000,3135.500000,2735600
2008-10-16,3004.000000,3131.149902,2916.600098,3077.750000,3077.750000,3785600
2008-10-17,3121.500000,3141.399902,2884.699951,2904.699951,2904.699951,3211000
2008-10-20,2939.399902,3049.449951,2891.649902,2947.600098,2947.600098,3117300
2008-10-21,2998.199951,3072.500000,2948.250000,3054.850098,3054.850098,3555800
2008-10-22,3016.949951,3016.949951,2889.750000,2901.350098,2901.350098,2882100
