Date, Open, High, Low, Close
02/08/23, 3975.34, 3975.34, 3975.34, 3975.34
02/07/23, 3983.52, 3983.52, 3983.52, 3983.52
02/06/23, 3958.95, 3958.95, 3958.95, 3958.95
02/03/23, 3999.09, 3999.09, 3999.09, 3999.09
02/02/23, 4031.65, 4031.65, 4031.65, 4031.65
02/01/23, 4014.34, 4014.34, 4014.34, 4014.34
01/31/23, 3988.92, 3988.92, 3988.92, 3988.92
01/30/23, 3973.27, 3973.27, 3973.27, 3973.27
01/27/23, 4000.49, 4000.49, 4000.49, 4000.49
01/26/23, 3988.18, 3988.18, 3988.18, 3988.18
01/25/23, 3970.18, 3970.18, 3970.18, 3970.18
01/24/23, 3962.08, 3962.08, 3962.08, 3962.08
01/23/23, 3953.58, 3953.58, 3953.58, 3953.58
01/20/23, 3923.31, 3923.31, 3923.31, 3923.31
01/19/23, 3880.58, 3880.58, 3880.58, 3880.58
01/18/23, 3928.60, 3928.60, 3928.60, 3928.60
01/17/23, 3950.41, 3950.41, 3950.41, 3950.41
01/16/23, 3949.60, 3949.60, 3949.60, 3949.60
01/13/23, 3954.16, 3954.16, 3954.16, 3954.16
01/12/23, 3927.96, 3927.96, 3927.96, 3927.96
01/11/23, 3880.21, 3880.21, 3880.21, 3880.21
01/10/23, 3853.21, 3853.21, 3853.21, 3853.21
01/09/23, 3846.32, 3846.32, 3846.32, 3846.32
01/06/23, 3822.08, 3822.08, 3822.08, 3822.08
01/05/23, 3748.46, 3748.46, 3748.46, 3748.46
01/04/23, 3770.18, 3770.18, 3770.18, 3770.18
01/03/23, 3718.46, 3718.46, 3718.46, 3718.46
01/02/23, 3709.23, 3709.23, 3709.23, 3709.23
12/30/22, 3696.40, 3696.40, 3696.40, 3696.40
12/29/22, 3708.93, 3708.93, 3708.93, 3708.93
12/28/22, 3671.87, 3671.87, 3671.87, 3671.87
12/27/22, 3698.58, 3698.58, 3698.58, 3698.58
12/26/22, 3695.26, 3695.26, 3695.26, 3695.26
12/23/22, 3692.99, 3692.99, 3692.99, 3692.99
12/22/22, 3681.73, 3681.73, 3681.73, 3681.73
12/21/22, 3707.59, 3707.59, 3707.59, 3707.59
12/20/22, 3664.74, 3664.74, 3664.74, 3664.74
12/19/22, 3640.85, 3640.85, 3640.85, 3640.85
12/16/22, 3652.42, 3652.42, 3652.42, 3652.42
12/15/22, 3687.93, 3687.93, 3687.93, 3687.93
12/14/22, 3774.79, 3774.79, 3774.79, 3774.79
12/13/22, 3787.21, 3787.21, 3787.21, 3787.21
12/12/22, 3743.00, 3743.00, 3743.00, 3743.00
12/09/22, 3734.03, 3734.03, 3734.03, 3734.03
12/08/22, 3733.51, 3733.51, 3733.51, 3733.51
12/07/22, 3714.97, 3714.97, 3714.97, 3714.97
12/06/22, 3728.68, 3728.68, 3728.68, 3728.68
12/05/22, 3761.65, 3761.65, 3761.65, 3761.65
12/02/22, 3787.15, 3787.15, 3787.15, 3787.15
12/01/22, 3793.72, 3793.72, 3793.72, 3793.72
11/30/22, 3765.85, 3765.85, 3765.85, 3765.85
11/29/22, 3720.25, 3720.25, 3720.25, 3720.25
11/28/22, 3706.67, 3706.67, 3706.67, 3706.67
11/25/22, 3751.34, 3751.34, 3751.34, 3751.34
11/24/22, 3754.50, 3754.50, 3754.50, 3754.50
11/23/22, 3732.71, 3732.71, 3732.71, 3732.71
11/22/22, 3705.37, 3705.37, 3705.37, 3705.37
11/21/22, 3659.91, 3659.91, 3659.91, 3659.91
11/18/22, 3688.27, 3688.27, 3688.27, 3688.27
11/17/22, 3662.85, 3662.85, 3662.85, 3662.85
11/16/22, 3685.27, 3685.27, 3685.27, 3685.27
11/15/22, 3712.17, 3712.17, 3712.17, 3712.17
11/14/22, 3674.42, 3674.42, 3674.42, 3674.42
11/11/22, 3689.80, 3689.80, 3689.80, 3689.80
11/10/22, 3626.19, 3626.19, 3626.19, 3626.19
11/09/22, 3502.51, 3502.51, 3502.51, 3502.51
11/08/22, 3549.71, 3549.71, 3549.71, 3549.71
11/07/22, 3512.47, 3512.47, 3512.47, 3512.47
11/04/22, 3474.35, 3474.35, 3474.35, 3474.35
11/03/22, 3402.05, 3402.05, 3402.05, 3402.05
11/02/22, 3436.48, 3436.48, 3436.48, 3436.48
11/01/22, 3460.66, 3460.66, 3460.66, 3460.66
10/31/22, 3433.64, 3433.64, 3433.64, 3433.64
10/28/22, 3445.90, 3445.90, 3445.90, 3445.90
10/27/22, 3419.83, 3419.83, 3419.83, 3419.83
10/26/22, 3428.46, 3428.46, 3428.46, 3428.46
10/25/22, 3401.39, 3401.39, 3401.39, 3401.39
10/24/22, 3353.78, 3353.78, 3353.78, 3353.78
10/21/22, 3323.13, 3323.13, 3323.13, 3323.13
10/20/22, 3290.51, 3290.51, 3290.51, 3290.51
10/19/22, 3295.70, 3295.70, 3295.70, 3295.70
10/18/22, 3308.99, 3308.99, 3308.99, 3308.99
10/17/22, 3278.89, 3278.89, 3278.89, 3278.89
10/14/22, 3220.29, 3220.29, 3220.29, 3220.29
10/13/22, 3233.96, 3233.96, 3233.96, 3233.96
10/12/22, 3177.45, 3177.45, 3177.45, 3177.45
10/11/22, 3191.39, 3191.39, 3191.39, 3191.39
10/10/22, 3213.65, 3213.65, 3213.65, 3213.65
10/07/22, 3235.76, 3235.76, 3235.76, 3235.76
10/06/22, 3291.35, 3291.35, 3291.35, 3291.35
10/05/22, 3317.82, 3317.82, 3317.82, 3317.82
