Date, Open, High, Low, Close
02/14/23, 3474.41, 3476.12, 3474.41, 3476.01
02/13/23, 3472.32, 3472.57, 3471.92, 3471.92
02/10/23, 3512.39, 3518.53, 3483.93, 3494.53
02/09/23, 3512.39, 3513.40, 3512.13, 3513.37
02/08/23, 3495.08, 3495.08, 3494.16, 3494.51
02/07/23, 3499.73, 3500.52, 3499.73, 3500.50
02/06/23, 3475.00, 3475.00, 3474.14, 3474.22
02/03/23, 3548.04, 3570.44, 3516.33, 3526.10
02/02/23, 3548.04, 3548.13, 3544.46, 3544.46
02/01/23, 3551.79, 3552.63, 3551.59, 3552.60
01/31/23, 3512.45, 3514.19, 3512.45, 3513.88
01/30/23, 3538.97, 3538.97, 3538.67, 3538.67
01/27/23, 3552.86, 3576.83, 3552.83, 3566.83
01/26/23, 3552.86, 3556.15, 3552.83, 3556.06
01/25/23, 3531.12, 3549.31, 3526.45, 3543.79
01/24/23, 3531.12, 3531.13, 3530.96, 3530.96
01/23/23, 3499.30, 3499.34, 3499.28, 3499.34
01/20/23, 3470.03, 3499.02, 3464.12, 3485.03
01/19/23, 3470.03, 3470.22, 3469.88, 3469.88
01/18/23, 3485.98, 3486.09, 3485.20, 3485.40
01/17/23, 3461.84, 3461.98, 3461.76, 3461.81
01/16/23, 3440.04, 3440.13, 3440.04, 3440.13
01/13/23, 3439.23, 3467.85, 3431.29, 3466.03
01/12/23, 3439.23, 3439.37, 3439.23, 3439.37
01/11/23, 3381.66, 3382.84, 3381.66, 3382.38
01/10/23, 3361.41, 3363.41, 3361.07, 3363.41
01/09/23, 3363.95, 3364.22, 3363.89, 3364.14
01/06/23, 3278.63, 3317.97, 3277.87, 3313.93
01/05/23, 3278.63, 3278.63, 3278.63, 3278.63
01/04/23, 3273.22, 3273.22, 3271.84, 3272.26
01/03/23, 3253.62, 3253.66, 3253.16, 3253.29
01/02/23, 3259.56, 3259.64, 3259.02, 3259.04
12/30/22, 3237.51, 3261.79, 3237.51, 3243.68
12/29/22, 3237.51, 3238.26, 3237.51, 3238.26
12/28/22, 3241.16, 3241.16, 3240.93, 3240.93
12/27/22, 3248.02, 3248.27, 3247.85, 3248.06
12/26/22, 3240.95, 3255.77, 3240.51, 3250.39
12/23/22, 3262.09, 3262.09, 3225.17, 3240.75
12/22/22, 3262.09, 3262.09, 3261.91, 3261.91
12/21/22, 3230.83, 3231.18, 3230.83, 3231.18
12/20/22, 3237.43, 3239.92, 3237.43, 3239.92
12/19/22, 3230.12, 3230.12, 3229.77, 3229.95
12/16/22, 3263.74, 3263.74, 3234.91, 3244.97
12/15/22, 3263.74, 3263.74, 3263.74, 3263.74
12/14/22, 3331.16, 3331.19, 3330.78, 3331.09
12/13/22, 3308.37, 3308.37, 3307.50, 3307.59
12/12/22, 3254.59, 3254.82, 3254.47, 3254.82
12/09/22, 3250.65, 3306.25, 3250.60, 3295.89
12/08/22, 3250.65, 3250.88, 3250.60, 3250.66
12/07/22, 3224.29, 3224.29, 3223.85, 3224.22
12/06/22, 3251.91, 3252.75, 3251.81, 3252.49
12/05/22, 3271.64, 3271.64, 3270.46, 3270.46
12/02/22, 3304.99, 3307.16, 3259.03, 3267.26
12/01/22, 3304.99, 3304.99, 3303.68, 3303.68
11/30/22, 3241.71, 3242.56, 3241.71, 3242.43
11/29/22, 3207.91, 3207.91, 3207.53, 3207.69
11/28/22, 3166.85, 3167.15, 3166.77, 3167.15
11/25/22, 3217.26, 3219.03, 3193.22, 3200.19
11/24/22, 3217.26, 3217.26, 3216.33, 3216.33
11/23/22, 3175.74, 3178.49, 3175.74, 3178.49
11/22/22, 3122.80, 3150.55, 3122.80, 3137.56
11/21/22, 3122.80, 3124.30, 3122.80, 3124.28
11/18/22, 3163.55, 3191.80, 3160.48, 3165.22
11/17/22, 3163.55, 3163.69, 3163.55, 3163.69
11/16/22, 3191.46, 3191.63, 3191.46, 3191.63
11/15/22, 3196.55, 3196.78, 3196.47, 3196.51
11/14/22, 3134.07, 3134.39, 3133.82, 3133.82
11/11/22, 3004.05, 3172.43, 3003.10, 3167.84
11/10/22, 3004.05, 3004.89, 3004.05, 3004.89
11/09/22, 2965.93, 2966.32, 2965.93, 2966.32
11/08/22, 2987.93, 2989.37, 2987.93, 2989.15
11/07/22, 2947.94, 2948.35, 2947.77, 2947.87
11/04/22, 2859.26, 2909.24, 2827.44, 2897.17
11/03/22, 2899.72, 2899.72, 2852.68, 2857.42
11/02/22, 2881.08, 2916.86, 2879.54, 2912.77
11/01/22, 2813.59, 2900.15, 2813.14, 2881.00
10/31/22, 2773.90, 2832.81, 2773.64, 2813.73
10/28/22, 2823.97, 2823.98, 2773.17, 2776.91
10/27/22, 2821.52, 2853.49, 2816.51, 2829.32
10/26/22, 2771.89, 2821.58, 2771.24, 2815.00
10/25/22, 2747.19, 2781.24, 2747.14, 2774.04
10/24/22, 2778.86, 2822.55, 2736.48, 2746.85
10/21/22, 2783.23, 2792.25, 2742.26, 2767.20
10/20/22, 2801.93, 2802.10, 2761.02, 2793.27
10/19/22, 2828.99, 2838.38, 2803.30, 2806.43
10/18/22, 2790.84, 2836.94, 2790.71, 2828.50
10/17/22, 2803.14, 2803.14, 2765.53, 2790.09
10/14/22, 2768.72, 2855.55, 2768.72, 2811.41
10/13/22, 2794.78, 2801.60, 2753.48, 2761.09
10/12/22, 2803.93, 2818.12, 2781.41, 2794.20
10/11/22, 2869.35, 2873.69, 2799.75, 2805.07
10/10/22, 2902.57, 2902.72, 2866.05, 2869.86
10/07/22, 2944.23, 2944.67, 2906.66, 2911.80
10/06/22, 2949.91, 2974.56, 2947.12, 2949.89
10/05/22, 2886.78, 2959.30, 2886.57, 2944.37
10/04/22, 2811.29, 2883.19, 2811.03, 2880.06
10/03/22, 2793.20, 2814.80, 2780.24, 2810.20
09/30/22, 2824.94, 2829.73, 2788.40, 2795.70
09/29/22, 2826.86, 2851.62, 2818.76, 2826.39
09/28/22, 2859.41, 2864.88, 2804.83, 2818.16
09/27/22, 2867.46, 2880.61, 2861.52, 2868.35
09/26/22, 2918.24, 2918.24, 2859.93, 2861.87
09/23/22, 2977.70, 2980.12, 2933.52, 2936.02
09/22/22, 2974.59, 2997.08, 2933.71, 2976.61
09/21/22, 3037.62, 3037.62, 2990.74, 2991.64
09/20/22, 3042.14, 3060.32, 3041.42, 3049.51
09/19/22, 3046.72, 3048.86, 3024.59, 3029.99
09/16/22, 3053.81, 3059.14, 3034.66, 3042.84
